z_true z_phot
0.158306 0.153612
0.158347 0.156075
0.158564 0.146092
0.158777 2.415901
0.158912 0.190047
0.159037 0.146983
0.160099 0.207046
0.160131 0.168717
0.16014 0.173056
0.160372 0.169244
0.16053 0.157232
0.160628 0.16614
0.160692 2.750021
0.16072 0.169373
0.160783 0.147084
0.160805 0.131584
0.160881 0.167083
0.160896 0.150994
0.16093 0.147418
0.161007 0.115886
0.161042 0.163096
0.161063 0.215621
0.161132 2.996193
0.161136 0.152251
0.161152 0.155873
0.161272 0.1693
0.161291 0.15222
0.161366 0.166911
0.16137 0.216242
0.161606 0.150345
0.161632 0.106442
0.161735 0.133378
0.161793 0.123268
0.162289 0.181203
0.162426 0.170885
0.162672 0.085597
0.162673 0.132011
0.16275 0.174308
0.16297 0.195608
0.163008 0.169586
0.16309 0.167296
0.163182 0.157001
0.163267 0.168916
0.163271 0.166096
0.163411 0.177439
0.163698 0.209952
0.163761 0.185306
0.163948 0.185089
0.164051 0.152003
0.16406 0.152435
0.164119 0.19909
0.164132 0.178821
0.164241 2.865411
0.164334 0.128574
0.164379 0.137739
0.164466 0.177575
0.164486 0.148592
0.164555 0.132626
0.16457 0.127981
0.164611 0.177522
0.164644 0.210015
0.16471 0.185256
0.164768 0.152026
0.164771 0.180272
0.164826 0.167083
0.165038 0.214766
0.165189 0.181203
0.165192 0.173928
0.165195 0.169623
0.165431 0.180478
0.165529 0.183128
0.165536 0.179459
0.165705 0.131623
0.165719 0.17953
0.165812 0.094318
0.16583 0.083846
0.165864 0.169186
0.166111 0.131282
0.166123 0.177717
0.166165 0.168535
0.166166 0.077126
0.16623 0.174651
0.166262 0.180012
0.166543 0.181873
0.166903 0.151049
0.166944 0.132041
0.167019 0.133849
0.167035 0.160303
0.167176 0.158648
0.16718 0.190729
0.167269 0.175282
0.167307 0.145767
0.167518 2.678062
0.167825 0.178842
0.167827 0.125224
0.167836 0.172018
0.167838 0.19909
0.16801 0.103819
0.168061 2.5232
0.168146 0.178481
0.168166 0.179926
0.168187 0.152594
0.168205 0.1855
0.168218 0.178059
0.168236 0.131428
0.168262 0.222831
0.168311 0.172833
0.168319 0.189535
0.168346 0.194325
0.168426 0.168515
0.168426 0.236335
0.168433 0.19414
0.168436 0.147606
0.168446 0.216574
0.16856 0.170637
0.168575 0.180743
0.168687 0.127174
0.168735 0.193563
0.168742 0.186881
0.168776 0.166763
0.168826 0.181217
0.168914 0.204029
0.168964 0.190778
0.168997 0.180154
0.169018 0.175822
0.169159 0.170363
0.169174 0.131914
0.169178 0.169555
0.16926 0.180098
0.169266 0.169025
0.169276 0.148088
0.169304 0.258622
0.16935 0.169446
0.169376 0.180152
0.169391 0.174446
0.169417 0.119332
0.16942 0.177015
0.169443 0.186598
0.169487 0.204872
0.169518 0.168821
0.16954 0.179244
0.169557 0.133234
0.16957 0.168326
0.169599 0.139423
0.16967 0.165754
0.169734 0.169663
0.169738 0.17908
0.169754 0.157747
0.169785 0.164826
0.169815 0.155157
0.169855 0.179654
0.16986 0.171298
0.169902 0.17906
0.169979 0.178026
0.170069 0.163387
0.17011 0.180784
0.170136 0.168775
0.170235 0.190954
0.170251 0.130499
0.17028 0.118731
0.170295 0.165881
0.170295 0.17853
0.170303 0.117727
0.170337 0.152005
0.170362 0.203966
0.170363 0.161904
0.170414 0.176105
0.170543 0.174463
0.170571 0.161834
0.170618 0.22243
0.17068 0.177667
0.170718 0.168243
0.170758 0.184593
0.170768 0.174617
0.170774 0.181637
0.170793 0.071585
0.170808 0.169034
0.170816 0.180697
0.170891 0.180239
0.170923 0.141708
0.170947 0.169225
0.170957 0.096321
0.171025 0.214024
0.171099 0.16682
0.171278 0.180326
0.171317 0.186802
0.171498 0.179095
0.171499 0.133242
