zphoto zspec
0.353363 0.447463
0.343059 0.4475
0.332818 0.44902
0.363414 0.449065
0.348229 0.44914
0.313699 0.449171
0.320935 0.449534
0.367259 0.450273
0.315759 0.45063
0.364889 0.450961
0.26449 0.451315
0.368955 0.451371
0.364095 0.452217
0.340539 0.452265
0.304769 0.452631
0.308895 0.452776
0.367581 0.452781
0.354849 0.452831
0.367879 0.452898
0.263437 0.452898
0.301201 0.452948
0.241927 0.453687
0.36882 0.453944
0.363914 0.453993
0.371532 0.45414
0.261849 0.454474
0.363265 0.454478
0.347867 0.454515
0.361637 0.454584
0.367255 0.454698
0.338813 0.454853
0.357773 0.454921
0.338131 0.455247
0.363861 0.455499
0.297996 0.455781
0.278786 0.455816
0.369028 0.455993
0.277545 0.456132
0.282165 0.456145
0.309877 0.456177
0.315688 0.456243
0.357231 0.456283
0.368349 0.456474
0.361629 0.456531
0.361563 0.456574
0.339976 0.456608
0.361559 0.456627
0.356341 0.456691
0.350956 0.457312
0.344922 0.457439
0.366376 0.457515
0.307619 0.457631
0.266043 0.457634
0.373135 0.457723
0.374307 0.457771
0.347573 0.457955
0.371636 0.458082
0.333178 0.458591
0.36855 0.458782
0.375634 0.459751
0.359052 0.461087
0.354092 0.461136
0.310162 0.461153
0.330858 0.461334
0.261297 0.461977
0.378496 0.46208
0.561919 0.462158
0.378135 0.46233
0.285048 0.46252
0.368396 0.462541
0.359275 0.462651
0.360734 0.462865
0.312351 0.462956
0.379171 0.463014
0.322864 0.463093
0.296819 0.463245
0.340549 0.463363
0.370901 0.4638
0.374587 0.464057
0.369233 0.464234
0.331969 0.464772
0.371824 0.464822
0.363706 0.4649
0.377471 0.464995
0.258133 0.465106
0.347739 0.46516
0.273919 0.465334
0.367474 0.465496
0.254433 0.465512
0.369912 0.465721
0.308311 0.465778
0.322662 0.465823
0.340746 0.465886
0.378794 0.465961
0.373042 0.466131
0.380962 0.466252
0.371805 0.466406
0.38243 0.466546
0.357773 0.466687
0.319733 0.466717
0.291101 0.466723
0.377626 0.466766
0.364033 0.466811
0.323551 0.466974
0.373722 0.467092
0.285048 0.467125
0.359709 0.467245
0.273949 0.467386
0.338925 0.467519
0.341923 0.467531
0.257175 0.467573
0.319205 0.467657
0.3521 0.467885
0.372949 0.467913
0.36841 0.468038
0.360875 0.468073
0.318768 0.46819
0.373243 0.46826
0.25332 0.468345
